id,gid,body,admin,title,date,file_1,file_2,file_3,locked,mailto,parent,level,edit_in,removed,user_ip,mailback,priority,register,username,sort_date,link_url_1,link_url_2,link_url_3,file_info_1,file_info_2,file_info_3,link_name_1,link_name_2,link_name_3
1,1,"הרבה חומר נמצא כרגע בתהליך עיבוד כולל אגף מאמרים שלם,<br />אני מקווה שתאזרו בסבלנות וגם תתרמו מן הידע האישי שלכם לקהילה.<br /><br />מאחלת לכולכם גלישה נעימה|אפלב|",1,ברוכים הבאים לפורום iPhone מבית Mac-it,27/02/2008 - 21:09,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,Supergirl,1204231483,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
2,1,<blank>,0,מזל טוב ושנתחדש! |מתלהב||נשיקה| |שחור||סגול|,27/02/2008 - 21:11,<blank>,<blank>,<blank>,0,<blank>,1,1,NULL,0,NULL,0,0,1,Trillian,1204146711,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
3,1,<blank>,1,מזל טוב על הפורום הכל כך נחוץ הזה! |מתלהב|,27/02/2008 - 21:12,<blank>,<blank>,<blank>,0,<blank>,1,1,NULL,0,NULL,0,0,0,גזים,1204146750,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
4,1,לכולנו !|אדום|,0,|אדום|  מהלך נכון בזמן הנכון-בהצלחה,27/02/2008 - 21:12,<blank>,<blank>,<blank>,0,<blank>,1,1,NULL,0,NULL,0,0,1,ל א ר י,1204146778,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
5,1,<blank>,0,מזל טוב!! איזה יפה הסגול!!,27/02/2008 - 21:13,<blank>,<blank>,<blank>,0,<blank>,3,2,NULL,0,NULL,0,0,1,עודד,1204146781,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
6,1,הצבעים לא קודרים מדי?!,0,בהצלחה!!!!,27/02/2008 - 21:14,<blank>,<blank>,<blank>,0,<blank>,1,1,NULL,0,NULL,0,0,1,טובטוב,1204146857,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
7,1,מדהים! מדהים! מדהים! |סגול||שחור||סגול||שחור|<br />מחכים לפורום של קובי! נעקוב הן אחרי הפורום הנ&quot;ל והן אחרי קובי |קול|,0,מהמם! מדהים! הבנתי שגם קובי יפתח אחד! מחכים!,27/02/2008 - 21:15,<blank>,<blank>,<blank>,0,<blank>,1,1,NULL,1,NULL,0,0,1,Shoval Nachum,1204146915,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
8,1,"הפורום גם יעסוק בדברים שקשורים לאיפוד טאצ': פריצה,עזרה וכ'ו?? <br />או שגם הפורום הזה בכלל לא אמור לעסוק בפריצה של איפונים? ",0,שאלה... חח...,27/02/2008 - 21:15,<blank>,<blank>,<blank>,0,<blank>,6,2,NULL,0,NULL,0,0,1,עודד,1204146928,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
9,1,אבל הצבעים... קצת קודרים...<br /><br /><br />|מתלהב||מתלהב||מתלהב||מתלהב||מתלהב|,0,פשוט מקסים. כל הכבוד!,27/02/2008 - 21:15,<blank>,<blank>,<blank>,0,<blank>,6,2,NULL,0,NULL,0,0,1,Marvin,1204146939,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
10,1,"כנראה שמישהו אחר ינהל אותו, עימכם הסליחה :-/",0,"לצער רבים אני לא אנהל את הפורום, ",27/02/2008 - 21:17,<blank>,<blank>,<blank>,0,<blank>,7,2,NULL,1,NULL,0,0,1,קוביאני,1204147079,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
